number,date_time,acc_x,acc_y,acc_z
250,11/24/24 08:15:00 AM,-0.9,-0.55,-0.375
251,11/24/24 08:30:00 AM,-1.25,0.2,-0.15
252,11/24/24 08:45:00 AM,-0.4,-0.425,-0.9
253,11/24/24 09:00:00 AM,-1.075,-0.45,0.1
254,11/24/24 09:15:00 AM,-0.45,-0.825,-0.5
255,11/24/24 09:30:00 AM,-0.725,0.125,-0.125
256,11/24/24 09:45:00 AM,-0.5,-0.55,0.7
257,11/24/24 10:00:00 AM,-0.375,-0.1,0.975
258,11/24/24 10:15:00 AM,-0.95,-0.025,-0.475
259,11/24/24 10:30:00 AM,-0.825,-0.8,0.275
260,11/24/24 10:45:00 AM,-0.325,-0.6,0.825
261,11/24/24 11:00:00 AM,-0.475,-0.975,-0.325
262,11/24/24 11:15:00 AM,-0.65,-0.625,-0.575
263,11/24/24 11:30:00 AM,-0.975,-0.425,0.075
264,11/24/24 11:45:00 AM,-1.025,-0.425,-0.2
265,11/24/24 12:00:00 PM,-0.2,-0.1,0.975
266,11/24/24 12:15:00 PM,-0.925,0,0.6
267,11/24/24 12:30:00 PM,-1.3,0.05,0.175
268,11/24/24 12:45:00 PM,0.225,-0.475,-1
269,11/24/24 01:00:00 PM,0.8,0.025,0.55
270,11/24/24 01:15:00 PM,-1.025,-0.55,0.425
271,11/24/24 01:30:00 PM,-0.425,0.175,-0.875
272,11/24/24 01:45:00 PM,-1.15,-0.55,-0.7
273,11/24/24 02:00:00 PM,-1.1,0.125,-0.175
274,11/24/24 02:15:00 PM,-0.7,0.225,0.875
275,11/24/24 02:30:00 PM,-0.9,-0.675,-0.075
276,11/24/24 02:45:00 PM,-1,0.075,-0.3
277,11/24/24 03:00:00 PM,0.075,-0.675,0.775
278,11/24/24 03:15:00 PM,-0.875,-0.1,-0.475
279,11/24/24 03:30:00 PM,-0.575,-0.425,-0.775
280,11/24/24 03:45:00 PM,-0.425,-0.175,0.925
281,11/24/24 04:00:00 PM,-1.225,0.1,-0.15
282,11/24/24 04:15:00 PM,-0.9,-0.075,-0.475
283,11/24/24 04:30:00 PM,-0.825,-0.225,-0.475
284,11/24/24 04:45:00 PM,-1.1,-0.15,0.375
285,11/24/24 05:00:00 PM,-1,-0.475,0.475
286,11/24/24 05:15:00 PM,0.7,-0.125,0.6
287,11/24/24 05:30:00 PM,-1.025,-0.425,-0.175
288,11/24/24 05:45:00 PM,-0.675,0.3,0.825
289,11/24/24 06:00:00 PM,-0.575,-0.575,-0.725
290,11/24/24 06:15:00 PM,-1.35,-0.1,0.425
291,11/24/24 06:30:00 PM,-0.675,0.55,0.65
292,11/24/24 06:45:00 PM,-0.875,0.9,-0.375
293,11/24/24 07:00:00 PM,-0.4,-0.275,0.9
294,11/24/24 07:15:00 PM,-0.025,0.15,-0.1
295,11/24/24 07:30:00 PM,-0.7,-1.25,0.575
296,11/24/24 07:45:00 PM,-0.525,-0.875,0.3
297,11/24/24 08:00:00 PM,0.875,-0.975,-0.2
298,11/24/24 08:15:00 PM,-0.25,-1.05,-0.325
299,11/24/24 08:30:00 PM,-0.975,0.125,0.625
300,11/24/24 08:45:00 PM,0.9,0,0.725
301,11/24/24 09:00:00 PM,0.525,-0.75,-0.875
302,11/24/24 09:15:00 PM,-0.975,0.375,-0.125
303,11/24/24 09:30:00 PM,-1.15,-0.3,0.3
304,11/24/24 09:45:00 PM,-0.275,-1.025,-0.4
305,11/24/24 10:00:00 PM,0.075,0.075,-0.95
306,11/24/24 10:15:00 PM,-0.125,0.15,1
307,11/24/24 10:30:00 PM,0.125,-0.25,1.025
308,11/24/24 10:45:00 PM,-0.675,-0.675,-0.375
309,11/24/24 11:00:00 PM,0.05,-0.75,0.825
310,11/24/24 11:15:00 PM,-1.05,0.475,-0.475
311,11/24/24 11:30:00 PM,-0.725,0.775,0.1
312,11/24/24 11:45:00 PM,-0.85,-0.675,0.45
313,11/25/24 12:00:00 AM,-0.15,-0.7,-0.825
314,11/25/24 12:15:00 AM,-0.65,-0.925,-0.05
315,11/25/24 12:30:00 AM,-0.875,-0.75,0.05
316,11/25/24 12:45:00 AM,-0.225,-0.45,0.925
317,11/25/24 01:00:00 AM,0.475,-0.5,-0.925
318,11/25/24 01:15:00 AM,-1.1,-0.175,0.175
319,11/25/24 01:30:00 AM,-1.075,0.025,0.425
320,11/25/24 01:45:00 AM,-0.95,-0.6,0.625
321,11/25/24 02:00:00 AM,-0.675,0.025,0.3
322,11/25/24 02:15:00 AM,-0.85,-0.075,-0.525
323,11/25/24 02:30:00 AM,-0.975,-0.175,-0.325
324,11/25/24 02:45:00 AM,0.425,-0.7,0.65
325,11/25/24 03:00:00 AM,0.125,-0.975,-0.525
326,11/25/24 03:15:00 AM,-1.025,0.2,-0.1
327,11/25/24 03:30:00 AM,-0.25,0.2,-0.875
328,11/25/24 03:45:00 AM,0.975,-0.3,-0.375
329,11/25/24 04:00:00 AM,-1.125,0.025,0.4
330,11/25/24 04:15:00 AM,-0.325,-0.525,-0.7
331,11/25/24 04:30:00 AM,0.5,-1.1,-0.775
332,11/25/24 04:45:00 AM,-1.05,0.025,-0.125
333,11/25/24 05:00:00 AM,-1.075,-0.375,-0.325
334,11/25/24 05:15:00 AM,-0.4,-0.975,0.325
335,11/25/24 05:30:00 AM,-0.175,0.3,-0.925
336,11/25/24 05:45:00 AM,-0.2,-0.3,-0.975
337,11/25/24 06:00:00 AM,-0.9,-0.15,0.5
338,11/25/24 06:15:00 AM,-1.025,-0.475,0.25
339,11/25/24 06:30:00 AM,-1.2,-0.35,0.05
340,11/25/24 06:45:00 AM,-0.9,-0.3,0.1
341,11/25/24 07:00:00 AM,-1.025,0.1,0.4
342,11/25/24 07:15:00 AM,-0.2,0.05,1.15
343,11/25/24 07:30:00 AM,0.525,0.375,-0.775
344,11/25/24 07:45:00 AM,-1,-0.35,-0.325
345,11/25/24 08:00:00 AM,-1.025,-0.125,-0.15
346,11/25/24 08:15:00 AM,-0.575,-0.075,0.25
347,11/25/24 08:30:00 AM,-0.675,-0.075,-0.625
348,11/25/24 08:45:00 AM,-0.7,0.275,-0.1
349,11/25/24 09:00:00 AM,0.075,0.525,0.95
350,11/25/24 09:15:00 AM,-0.975,-0.2,0.15
351,11/25/24 09:30:00 AM,-0.15,-0.925,-0.425
352,11/25/24 09:45:00 AM,-1.15,-0.425,0.05
353,11/25/24 10:00:00 AM,-0.9,-0.4,0.15
354,11/25/24 10:15:00 AM,0.875,-0.175,0.625
355,11/25/24 10:30:00 AM,-1,-0.125,0.4
356,11/25/24 10:45:00 AM,-1.3,-0.025,-0.25
357,11/25/24 11:00:00 AM,-0.85,-0.625,-0.125
358,11/25/24 11:15:00 AM,-0.85,-0.8,0.175
359,11/25/24 11:30:00 AM,-1.05,0.325,0.35
360,11/25/24 11:45:00 AM,1,-0.225,-0.3
361,11/25/24 12:00:00 PM,-0.575,0.05,0.775
362,11/25/24 12:15:00 PM,-0.625,-0.3,-0.8
363,11/25/24 12:30:00 PM,-1.2,-0.325,0.025
364,11/25/24 12:45:00 PM,0.725,-0.5,-0.475
365,11/25/24 01:00:00 PM,-0.975,0.2,0.45
366,11/25/24 01:15:00 PM,-0.8,-0.425,-0.575
367,11/25/24 01:30:00 PM,-0.95,-0.35,0.6
368,11/25/24 01:45:00 PM,-0.9,-0.225,-0.175
369,11/25/24 02:00:00 PM,0.85,-0.45,-0.175
370,11/25/24 02:15:00 PM,-0.3,-0.925,-0.525
371,11/25/24 02:30:00 PM,-0.35,0.025,-0.825
372,11/25/24 02:45:00 PM,-0.25,0.925,0.25
373,11/25/24 03:00:00 PM,0.25,0.075,0.975
374,11/25/24 03:15:00 PM,-0.875,-0.675,0.175
375,11/25/24 03:30:00 PM,-1.1,-0.325,0.325
376,11/25/24 03:45:00 PM,-0.7,-0.75,0.425
377,11/25/24 04:00:00 PM,-0.925,-0.075,0.325
