Plot Title: 21820136_Pendant1,,,,,
#,"Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Y Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Z Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)",End Of File (LGR S/N: 21820136)
328,11/22/24 09:15:00 PM,-1.025,-0.175,0.125,
329,11/22/24 09:20:00 PM,-1.075,-0.2,0.075,
330,11/22/24 09:25:00 PM,-1.075,-0.225,0.125,
331,11/22/24 09:30:00 PM,-1.025,-0.175,0.1,
332,11/22/24 09:35:00 PM,-1.05,-0.175,0.125,
333,11/22/24 09:40:00 PM,-1.025,-0.175,0.1,
334,11/22/24 09:45:00 PM,-1.025,-0.15,0.075,
335,11/22/24 09:50:00 PM,-1.025,-0.125,0.125,
336,11/22/24 09:55:00 PM,-1.075,-0.2,0.1,
337,11/22/24 10:00:00 PM,-1.025,-0.2,0.1,
338,11/22/24 10:05:00 PM,-1.025,-0.225,0.1,
339,11/22/24 10:10:00 PM,-1.025,-0.15,0.075,
340,11/22/24 10:15:00 PM,-1.075,-0.175,0.075,
341,11/22/24 10:20:00 PM,-1.025,-0.225,0.075,
342,11/22/24 10:25:00 PM,-1.05,-0.2,0.075,
343,11/22/24 10:30:00 PM,-1.075,-0.175,0.1,
344,11/22/24 10:35:00 PM,-1.025,-0.2,0.025,
345,11/22/24 10:40:00 PM,-1.075,-0.2,0.075,
346,11/22/24 10:45:00 PM,-1.025,-0.175,0.025,
347,11/22/24 10:50:00 PM,-1.025,-0.15,0.05,
348,11/22/24 10:55:00 PM,-1.125,-0.275,0.075,
349,11/22/24 11:00:00 PM,-1.075,-0.2,0.075,
350,11/22/24 11:05:00 PM,-1.075,-0.25,0.075,
351,11/22/24 11:10:00 PM,-1.05,-0.2,0.1,
352,11/22/24 11:15:00 PM,-1.1,-0.225,0.125,
353,11/22/24 11:20:00 PM,-1.025,-0.175,0.075,
354,11/22/24 11:25:00 PM,-1.025,-0.125,0.075,
355,11/22/24 11:30:00 PM,-1.025,-0.2,0.075,
356,11/22/24 11:35:00 PM,-1.05,-0.225,0.075,
357,11/22/24 11:40:00 PM,-1.025,-0.125,0.125,
358,11/22/24 11:45:00 PM,-1.075,-0.2,0.05,
359,11/22/24 11:50:00 PM,-1,-0.125,0.05,
360,11/22/24 11:55:00 PM,-1.025,-0.125,0.1,
361,11/23/24 12:00:00 AM,-1.05,-0.225,0.075,
362,11/23/24 12:05:00 AM,-1.025,-0.125,0.075,
363,11/23/24 12:10:00 AM,-1.1,-0.225,0.125,
364,11/23/24 12:15:00 AM,-1.025,-0.2,0.125,
365,11/23/24 12:20:00 AM,-1.025,-0.175,0.05,
366,11/23/24 12:25:00 AM,-1.025,-0.25,-0.025,
367,11/23/24 12:30:00 AM,-1.025,-0.475,0.125,
368,11/23/24 12:35:00 AM,-1.025,-0.2,0.075,
369,11/23/24 12:40:00 AM,-1.075,-0.25,0.075,
370,11/23/24 12:45:00 AM,-1.05,-0.225,0,
371,11/23/24 12:50:00 AM,-1.025,-0.2,0.05,
372,11/23/24 12:55:00 AM,-1.05,-0.15,-0.025,
373,11/23/24 01:00:00 AM,-1.075,-0.2,0.05,
374,11/23/24 01:05:00 AM,-1.075,-0.175,0.025,
375,11/23/24 01:10:00 AM,-1.075,-0.25,0.075,
376,11/23/24 01:15:00 AM,-1.05,-0.3,0.1,
377,11/23/24 01:20:00 AM,-1.1,-0.175,0.025,
378,11/23/24 01:25:00 AM,-1.025,-0.225,-0.025,
379,11/23/24 01:30:00 AM,-1.125,-0.225,0.05,
380,11/23/24 01:35:00 AM,-1.05,-0.2,0,
381,11/23/24 01:40:00 AM,-1.025,-0.2,0.1,
382,11/23/24 01:45:00 AM,-1.075,-0.275,0.05,
383,11/23/24 01:50:00 AM,-1.025,-0.25,-0.075,
384,11/23/24 01:55:00 AM,-1.05,-0.2,0.025,
385,11/23/24 02:00:00 AM,-1.025,-0.175,0.125,
386,11/23/24 02:05:00 AM,-1.025,-0.175,-0.025,
387,11/23/24 02:10:00 AM,-1,-0.25,0.025,
388,11/23/24 02:15:00 AM,-1.05,-0.325,-0.175,
389,11/23/24 02:20:00 AM,-1.025,-0.275,0.025,
390,11/23/24 02:25:00 AM,-1.025,-0.175,-0.1,
391,11/23/24 02:30:00 AM,-0.95,0,-0.075,
