"Plot Title: t3_low_mllmeso"
"#","Date Time, GMT+01:00","X Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Coupler Detached (LGR S/N: 21820141)","Host Connected (LGR S/N: 21820141)","Coupler Attached (LGR S/N: 21820141)","Stopped (LGR S/N: 21820141)","End Of File (LGR S/N: 21820141)"
174,30/06/25 13:09:51,-1.025,,,,,
175,30/06/25 13:09:52,-1.025,,,,,
176,30/06/25 13:09:53,-1.025,,,,,
177,30/06/25 13:09:54,-1.025,,,,,
178,30/06/25 13:09:55,-1.025,,,,,
179,30/06/25 13:09:56,-1.025,,,,,
180,30/06/25 13:09:57,-1.025,,,,,
181,30/06/25 13:09:58,-1.025,,,,,
182,30/06/25 13:09:59,-1.025,,,,,
183,30/06/25 13:10:00,-1.025,,,,,
184,30/06/25 13:10:01,-1.025,,,,,
185,30/06/25 13:10:02,-1.025,,,,,
186,30/06/25 13:10:03,-1.025,,,,,
187,30/06/25 13:10:04,-1.025,,,,,
188,30/06/25 13:10:05,-1.025,,,,,
189,30/06/25 13:10:06,-1.025,,,,,
190,30/06/25 13:10:07,-1.025,,,,,
191,30/06/25 13:10:08,-1.025,,,,,
192,30/06/25 13:10:09,-1.025,,,,,
193,30/06/25 13:10:10,-1.025,,,,,
194,30/06/25 13:10:11,-1.025,,,,,
195,30/06/25 13:10:12,-1.025,,,,,
196,30/06/25 13:10:13,-1.025,,,,,
197,30/06/25 13:10:14,-1.025,,,,,
198,30/06/25 13:10:15,-1.025,,,,,
199,30/06/25 13:10:16,-1.025,,,,,
200,30/06/25 13:10:17,-1.025,,,,,
201,30/06/25 13:10:18,-1.025,,,,,
202,30/06/25 13:10:19,-1.025,,,,,
203,30/06/25 13:10:20,-1.025,,,,,
204,30/06/25 13:10:21,-1.025,,,,,
205,30/06/25 13:10:22,-1.025,,,,,
206,30/06/25 13:10:23,-1.025,,,,,
207,30/06/25 13:10:24,-1.025,,,,,
208,30/06/25 13:10:25,-1.025,,,,,
209,30/06/25 13:10:26,-1.025,,,,,
210,30/06/25 13:10:27,-1.025,,,,,
211,30/06/25 13:10:28,-1.025,,,,,
212,30/06/25 13:10:29,-1.025,,,,,
213,30/06/25 13:10:30,-1.025,,,,,
214,30/06/25 13:10:31,-1.025,,,,,
