"Plot Title: mill_meso_T5_high"
"#","Date Time, GMT+01:00","X Accel, g (LGR S/N: 21820144, SEN S/N: 21820144)","Coupler Detached (LGR S/N: 21820144)","Host Connected (LGR S/N: 21820144)","Coupler Attached (LGR S/N: 21820144)","Stopped (LGR S/N: 21820144)","End Of File (LGR S/N: 21820144)"
187,30/06/25 14:19:41,-1.075,,,,,
188,30/06/25 14:19:42,-1.025,,,,,
189,30/06/25 14:19:43,-1.025,,,,,
190,30/06/25 14:19:44,-1.100,,,,,
191,30/06/25 14:19:45,-1.025,,,,,
192,30/06/25 14:19:46,-1.050,,,,,
193,30/06/25 14:19:47,-0.975,,,,,
194,30/06/25 14:19:48,-0.975,,,,,
195,30/06/25 14:19:49,-1.100,,,,,
196,30/06/25 14:19:50,-1.025,,,,,
197,30/06/25 14:19:51,-1.050,,,,,
198,30/06/25 14:19:52,-1.075,,,,,
199,30/06/25 14:19:53,-1.075,,,,,
200,30/06/25 14:19:54,-1.075,,,,,
201,30/06/25 14:19:55,-1.075,,,,,
202,30/06/25 14:19:56,-1.025,,,,,
203,30/06/25 14:19:57,-1.075,,,,,
204,30/06/25 14:19:58,-1.050,,,,,
205,30/06/25 14:19:59,-1.050,,,,,
206,30/06/25 14:20:00,-1.025,,,,,
207,30/06/25 14:20:01,-1.075,,,,,
208,30/06/25 14:20:02,-1.100,,,,,
209,30/06/25 14:20:03,-1.050,,,,,
210,30/06/25 14:20:04,-1.025,,,,,
211,30/06/25 14:20:05,-1.000,,,,,
212,30/06/25 14:20:06,-1.050,,,,,
213,30/06/25 14:20:07,-0.900,,,,,
214,30/06/25 14:20:08,-0.950,,,,,
215,30/06/25 14:20:09,-1.025,,,,,
216,30/06/25 14:20:10,-1.100,,,,,
217,30/06/25 14:20:11,-1.050,,,,,
218,30/06/25 14:20:12,-1.025,,,,,
219,30/06/25 14:20:13,-1.000,,,,,
220,30/06/25 14:20:14,-1.000,,,,,
221,30/06/25 14:20:15,-1.000,,,,,
222,30/06/25 14:20:16,-0.975,,,,,
223,30/06/25 14:20:17,-1.025,,,,,
224,30/06/25 14:20:18,-1.100,,,,,
225,30/06/25 14:20:19,-1.025,,,,,
226,30/06/25 14:20:20,-1.000,,,,,
227,30/06/25 14:20:21,-1.025,,,,,
228,30/06/25 14:20:22,-0.975,,,,,
229,30/06/25 14:20:23,-1.025,,,,,
230,30/06/25 14:20:24,-1.025,,,,,
231,30/06/25 14:20:25,-1.050,,,,,
232,30/06/25 14:20:26,-0.975,,,,,
233,30/06/25 14:20:27,-1.100,,,,,
234,30/06/25 14:20:28,-1.075,,,,,
235,30/06/25 14:20:29,-1.050,,,,,
236,30/06/25 14:20:30,-1.100,,,,,
237,30/06/25 14:20:31,-1.075,,,,,
238,30/06/25 14:20:32,-1.050,,,,,
239,30/06/25 14:20:33,-1.050,,,,,
240,30/06/25 14:20:34,-1.075,,,,,
241,30/06/25 14:20:35,-1.100,,,,,
242,30/06/25 14:20:36,-1.050,,,,,
243,30/06/25 14:20:37,-1.025,,,,,
244,30/06/25 14:20:38,-1.050,,,,,
245,30/06/25 14:20:39,-1.050,,,,,
246,30/06/25 14:20:40,-1.075,,,,,
247,30/06/25 14:20:41,-1.050,,,,,
248,30/06/25 14:20:42,-0.925,,,,,
249,30/06/25 14:20:43,-0.850,,,,,
