"","X","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"21",21,138228,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138228","Mytilus","Linnaeus, 1758","accepted",NA,180,"Genus",138228,"Mytilus","Linnaeus, 1758",224589,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus","MolluscaBase eds. (2025). MolluscaBase. Mytilus Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138228 on 2025-05-02","urn:lsid:marinespecies.org:taxname:138228",1,NA,NA,NA,0,"like","2018-09-01T07:44:44Z"
"22",22,138298,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138298","Ostrea","Linnaeus, 1758","accepted",NA,180,"Genus",138298,"Ostrea","Linnaeus, 1758",510735,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Ostrea","MolluscaBase eds. (2025). MolluscaBase. Ostrea Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138298 on 2025-05-02","urn:lsid:marinespecies.org:taxname:138298",1,NA,NA,NA,NA,"like","2017-09-25T08:59:00.343Z"
"23",23,138323,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138323","Pecten","O. F. Müller, 1776","accepted",NA,180,"Genus",138323,"Pecten","O. F. Müller, 1776",393858,"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Pecten","MolluscaBase eds. (2025). MolluscaBase. Pecten O. F. Müller, 1776. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138323 on 2025-05-02","urn:lsid:marinespecies.org:taxname:138323",1,0,0,0,0,"like","2019-11-15T16:45:32.920Z"
"24",24,1082,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1082","Cirripedia","Burmeister, 1834","accepted",NA,70,"Subclass",1082,"Cirripedia","Burmeister, 1834",22388,"Animalia","Arthropoda","Thecostraca",NA,NA,NA,"Boyko, C.B. (2025). World List of Rhizocephala. Cirripedia. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1082 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1082",1,1,1,NA,0,"like","2021-04-27T12:51:47.073Z"
"25",25,1080,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1080","Copepoda","Milne Edwards, 1840","accepted",NA,60,"Class",1080,"Copepoda","Milne Edwards, 1840",845959,"Animalia","Arthropoda","Copepoda",NA,NA,NA,"WoRMS (2025). Copepoda. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1080 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1080",1,1,1,1,NA,"like","2022-05-16T08:06:50.067Z"
"26",26,1102,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1102","Harpacticoida","Sars G.O., 1903","accepted",NA,100,"Order",1102,"Harpacticoida","Sars G.O., 1903",155879,"Animalia","Arthropoda","Copepoda","Harpacticoida",NA,NA,"WoRMS (2025). Harpacticoida. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1102 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1102",1,1,1,1,0,"like","2019-10-22T14:05:15.047Z"
"27",27,101489,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=101489","Corophium","Latreille, 1806","accepted",NA,180,"Genus",101489,"Corophium","Latreille, 1806",431323,"Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium","Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilaş-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2025). World Amphipoda Database. Corophium Latreille, 1806. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101489 on 2025-05-02","urn:lsid:marinespecies.org:taxname:101489",1,NA,NA,NA,NA,"like","2017-09-26T18:19:25.773Z"
"28",28,1137,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1137","Cumacea","Krøyer, 1846","accepted",NA,100,"Order",1137,"Cumacea","Krøyer, 1846",1090,"Animalia","Arthropoda","Malacostraca","Cumacea",NA,NA,"Watling, L.; Gerken, S. (2025). World Cumacea Database. Cumacea. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1137 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1137",1,1,1,0,NA,"like","2004-12-21T15:54:05.437Z"
"29",29,107276,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=107276","Cancer pagurus","Linnaeus, 1758","accepted",NA,220,"Species",107276,"Cancer pagurus","Linnaeus, 1758",106876,"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","DecaNet eds. (2025). DecaNet. Cancer pagurus Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107276 on 2025-05-02","urn:lsid:marinespecies.org:taxname:107276",1,0,0,0,0,"like","2024-01-11T17:05:08.940Z"
"30",30,106673,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=106673","Brachyura","Latreille, 1802","accepted",NA,120,"Infraorder",106673,"Brachyura","Latreille, 1802",106670,"Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,"WoRMS (2025). Brachyura. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106673 on 2025-05-02","urn:lsid:marinespecies.org:taxname:106673",1,1,1,1,0,"like","2023-03-07T10:29:38.563Z"
"31",31,186,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=186","Dendronotidae","Allman, 1845","accepted",NA,140,"Family",186,"Dendronotidae","Allman, 1845",182,"Animalia","Mollusca","Gastropoda","Nudibranchia","Dendronotidae",NA,"MolluscaBase eds. (2025). MolluscaBase. Dendronotidae Allman, 1845. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=186 on 2025-05-02","urn:lsid:marinespecies.org:taxname:186",1,NA,NA,NA,NA,"like","2017-10-30T23:19:26.800Z"
"32",32,123082,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=123082","Echinoidea","Schumacher, 1817","accepted",NA,60,"Class",123082,"Echinoidea","Schumacher, 1817",148744,"Animalia","Echinodermata","Echinoidea",NA,NA,NA,"WoRMS (2025). Echinoidea. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123082 on 2025-05-02","urn:lsid:marinespecies.org:taxname:123082",1,0,0,0,0,"like","2022-09-06T06:38:36.173Z"
"33",33,1128,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1128","Euphausiacea","Dana, 1852","accepted",NA,100,"Order",1128,"Euphausiacea","Dana, 1852",1089,"Animalia","Arthropoda","Malacostraca","Euphausiacea",NA,NA,"Siegel, V.; De Grave, S. (Ed) (2025). World Euphausiacea Database. Euphausiacea. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1128 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1128",1,NA,NA,NA,NA,"like","2018-12-03T11:52:55.670Z"
