sample_id,ND_conc,a260_280,a260_230,qubit_pred,qubit_lb,qubit_ub,CI_width,ND_to_Qb_correction_factor,outside_range
c1a2 1,51.26,2.167,1.55,16.766376048309976,8.593857768068533,32.71073054499972,24.11687277693119,0.32708497948322235,FALSE
c1a4 1,30.37,2.147,1.103,11.848066781690246,6.075048532985968,23.10708889010222,17.03204035711625,0.39012402969016285,FALSE
c1a6 1,21.5,1.908,1.481,9.85414788225646,4.9799387412818525,19.499081320101645,14.519142578819793,0.4583324596398353,FALSE
c1b3 1,32.61,2.057,2.205,12.450225914049247,6.3528479989481585,24.399784999818678,18.04693700087052,0.381791656364589,FALSE
c1b6 1,24.39,2.047,1.674,10.326690651837243,5.266599743086114,20.24846106042865,14.981861317342535,0.42339855071083404,FALSE
c1c2 1,65.17,2.012,1.913,20.453875555159797,10.418090766317357,40.15716839198244,29.739077625665082,0.31385415920147,FALSE
c1d1 1,36.65,1.991,1.922,13.813260467980411,7.032824183626103,27.130802615613142,20.097978431987038,0.37689660212770565,FALSE
c1d2 1,49.95,2.08,1.881,16.73082098072809,8.55271716861423,32.72882350376212,24.176106335147892,0.33495137098554734,FALSE
c1d4 1,34.22,2.088,1.014,13.091058529224389,6.699924635355272,25.57876733586441,18.87884270050914,0.38255577233268234,FALSE
c2a1 1,12.97,1.983,0.868,6.9021486524731674,3.4920150136005246,13.642454524190937,10.150439510590413,0.5321625792192111,FALSE
c2a3 1,172.15,2.125,2.11,38.70379526471418,19.598228982166557,76.43464974595432,56.83642076378776,0.22482599630969607,FALSE
c2a4 1,64.1,2.079,1.919,19.868064464935426,10.147489847767508,38.90025922713037,28.75276937936286,0.3099542038211455,FALSE
c2a5 1,27.4,2.177,0.597,11.065277229307314,5.678450214217462,21.562284697832872,15.88383448361541,0.40384223464625235,FALSE
c2a6 1,54.27,2.02,1.405,18.17832853205787,9.270001133667442,35.647420475416304,26.377419341748862,0.33496090901156933,FALSE
c2b1 1,44.1,2.048,1.951,15.456697648861065,7.892004863608068,30.272346043522646,22.380341179914577,0.35049201017825543,FALSE
c2b2 1,40.81,2.091,1.489,14.627677672835654,7.4856751442691385,28.583788365994536,21.0981132217254,0.3584336602018048,FALSE
c2b3 1,61.32,2.017,1.838,19.616112597869886,9.996625521085548,38.492176449010806,28.495550927925258,0.319897465718687,FALSE
c2b4 1,69.5,2.043,1.365,21.456617126836942,10.94066210454188,42.08030685241149,31.13964474786961,0.30872830398326534,FALSE
c2b5 1,32.35,2.141,1.223,12.364990782835006,6.338946473319192,24.11962266965429,17.7806761963351,0.3822253719578054,FALSE
c2b6 1,192.86,2.183,1.844,41.46675490190849,20.97252520192075,81.98782671804696,61.015301516126215,0.2150096178674089,FALSE
c2c1 1,43.87,2.058,1.814,15.404973401833551,7.870402148200357,30.15261495442937,22.282212806229012,0.35115052203860386,FALSE
c2c2 1,43.26,2.129,1.918,14.94380459948041,7.651338207997079,29.186697782362234,21.535359574365156,0.345441622734175,FALSE
c2c3 1,23.59,2.138,1.083,9.977351318999125,5.110487313208995,19.479069850234172,14.368582537025176,0.42294833908432067,FALSE
c2c4 1,66.46,1.999,1.71,20.892091850594266,10.63438602946426,41.04416566074726,30.409779631283,0.31435588098998296,FALSE
c2c5 1,47.78,2.114,2.013,16.03717824981523,8.20552669902489,31.343641383423957,23.138114684399067,0.33564625889106803,FALSE
c2d1 1,11.13,1.68,0.755,6.452660539858095,3.2219837616581732,12.922730566839858,9.700746805181685,0.5797538670133059,FALSE
c2d2 1,41.2,2.099,1.676,14.635934695585409,7.490367471902129,28.598140907904398,21.10777343600227,0.35524113338799534,FALSE
c2d3 1,56.55,2.102,2.103,18.04073659469957,9.22255135817276,35.2904705259149,26.06791916774214,0.31902275145357334,FALSE
c2d4 1,72.14,2.093,1.491,21.673865143248637,11.070083579973272,42.43476816178315,31.364684581809875,0.3004417125484979,FALSE
c2d5 1,51.14,2.105,1.781,16.930162761047317,8.66234643731486,33.08923433041574,24.426887893100883,0.3310551967353797,FALSE
c2d6 1,32.4,2.127,1.762,12.283894616507906,6.289624711974043,23.990949199592666,17.701324487618624,0.37913254989221934,FALSE
d1a1 1,1.61,1.943,0.359,1.6667153369977115,0.8046714390089255,3.452266204458367,2.6475947654494414,1.035226917389883,FALSE
d1a2 1,92.73,2.043,1.625,26.046804945161462,13.254594876967523,51.18497050635657,37.93037562938905,0.2808886546442517,FALSE
d1a3 1,18.93,2.121,1.071,8.609743315741893,4.401905071354641,16.83990880342864,12.438003732073998,0.4548200378099257,FALSE
d1a4 1,46.23,2.155,0.659,15.955515942338094,8.179815018390338,31.122768475062934,22.942953456672598,0.3451333753480012,FALSE
d1a5 1,16.75,2.123,1.465,7.8423946487439755,4.0029465515390275,15.364470405681988,11.36152385414296,0.46820266559665524,FALSE
d1a6 1,102.03,2.205,1.644,26.662721116568402,13.606102541518268,52.248665271383075,38.64256272986481,0.2613223671132843,FALSE
d1b1 1,29.29,2.086,1.976,11.527732223221413,5.889862851451869,22.562258844030612,16.672395992578743,0.3935722848488021,FALSE
d1b2 1,63.59,2.116,2.234,19.43991081905308,9.934710773048222,38.039369367245754,28.10465859419753,0.30570704228735773,FALSE
d1b3 1,37.99,2.229,0.92,13.589942599208028,6.980805844795574,26.456335264997954,19.475529420202378,0.3577242063492505,FALSE
d1b4 1,34.83,2.201,1.451,12.74934146492708,6.542947966845175,24.842885594226097,18.29993762738092,0.36604483103436924,FALSE
d1b5 1,20.59,2.057,1.557,9.184435018605031,4.682203783428351,18.015842648611454,13.333638865183103,0.446062895512629,FALSE
d1b6 1,65.25,2.092,2.14,19.95293523790518,10.191080281250816,39.06549782955636,28.87441754830554,0.30579211092574987,FALSE
d1c1 1,24.23,2.085,1.237,10.272046124123353,5.250862814729303,20.094779715085203,14.8439169003559,0.4239391714454541,FALSE
d1c2 1,20.44,1.943,1.506,9.424245509361317,4.772890286572152,18.608515613817744,13.835625327245591,0.4610687626889098,FALSE
d1c3 1,31.48,2.147,1.552,12.031896979113196,6.166093121789237,23.477839542258785,17.311746420469547,0.3822076549908893,FALSE
d1c4 1,20.02,2.149,1.824,8.745074168161274,4.469181626913841,17.111929787344923,12.642748160431083,0.4368168915165472,FALSE
d1c5 1,45.02,2.059,1.738,15.703886145136863,8.024043355514475,30.73413603753012,22.710092682015645,0.3488202164623914,FALSE
d1c6 1,39.38,2.193,1.378,13.928844789519736,7.148047589895066,27.14205728635604,19.99400969646097,0.35370352436566116,FALSE
d1d1 1,45.66,2.11,1.734,15.649439743734602,8.010518602268,30.572922485123595,22.562403882855595,0.3427384963586203,FALSE
d1d2 1,28.42,2.179,1.458,11.139512688241576,5.712524932548427,21.722223429515523,16.009698496967097,0.391960333857902,FALSE
d1d3 1,30.92,2.075,1.786,12.049749853295033,6.157833285775327,23.579149481423826,17.4213161956485,0.3897073044403309,FALSE
d1d4 1,59.57,2.101,1.646,18.88629438141144,9.658309541468558,36.931112419813566,27.272802878345008,0.3170437196812395,FALSE
d1d5 1,52.65,2.139,1.927,17.069147405135737,8.73856246694494,33.34138701192029,24.60282454497535,0.32420033058187536,FALSE
d1d6 1,25.1,2.108,1.663,10.369530319920537,5.302494621487203,20.278598420453083,14.97610379896588,0.4131286980048023,FALSE
d2a1 1,17.86,2.178,0.718,8.208748236303729,4.204708931654953,16.025734171448992,11.82102523979404,0.4596163626149904,FALSE
d2a2 1,37.17,1.993,1.922,13.941147802641439,7.098895890585867,27.37828601104533,20.27939012045946,0.3750645090837083,FALSE
d2a3 1,45.51,2.137,0.923,15.770139487983238,8.082338863426378,30.770461827062892,22.688122963636516,0.34652031395260907,FALSE
d2a4 1,87.94,2.137,2.279,24.166900087462917,12.331040195078444,47.36332463424427,35.03228443916583,0.2748112359274837,FALSE
d2a5 1,43.47,2.053,1.849,15.3165004998373,7.8232604943006185,29.98688177805442,22.163621283753802,0.3523464573231493,FALSE
d2a6 1,20.56,1.931,3.449,9.128458451551316,4.591877506996257,18.146989673556767,13.55511216656051,0.44399116982253484,FALSE
d2b1 1,71.7,2.023,1.895,21.79500085723554,11.101689544955315,42.788267537417426,31.686577992462112,0.3039749073533548,FALSE
d2b2 1,15.01,1.98,1.379,7.5599722289160525,3.8279973088319323,14.93030832861833,11.102311019786397,0.5036623736786178,FALSE
d2b3 1,36.69,2.062,2.293,13.464664876678142,6.872389472314268,26.380518882350017,19.50812941003575,0.36698459734745553,FALSE
d2b4 1,4.06,2.66,0.224,2.6269497126166796,1.3127015912604671,5.256994307434782,3.9442927161743153,0.6470319489203645,FALSE
d2b5 1,23.71,1.844,1.761,10.655847106270757,5.360100880987733,21.183757558550834,15.8236566775631,0.4494241715002428,FALSE
