Date,Sample Name,Nano_ng_ul,A260_A280,A260_A230,A230,A280,real_qubit
11/24/2025 01:43:43 PM,c2a1 1,12.97,1.983,0.868,0.299,0.131,NA
11/24/2025 01:44:43 PM,c2a2 1,32.91,1.916,2.3,0.286,0.344,14
11/24/2025 01:45:33 PM,c2a3 1,172.15,2.125,2.11,1.631,1.62,NA
11/24/2025 01:46:30 PM,c2a4 1,64.1,2.079,1.919,0.668,0.617,NA
11/24/2025 01:47:26 PM,c2a5 1,27.4,2.177,0.597,0.918,0.252,NA
11/24/2025 01:48:30 PM,c2a6 1,54.27,2.02,1.405,0.772,0.537,NA
11/24/2025 01:49:34 PM,c2b1 1,44.1,2.048,1.951,0.452,0.431,NA
11/24/2025 01:50:26 PM,c2b2 1,40.81,2.091,1.489,0.548,0.39,NA
11/24/2025 01:51:34 PM,c2b3 1,61.32,2.017,1.838,0.667,0.608,NA
11/24/2025 01:52:38 PM,c2b4 1,69.5,2.043,1.365,1.018,0.68,NA
11/24/2025 01:53:32 PM,c2b5 1,32.35,2.141,1.223,0.529,0.302,NA
11/24/2025 01:54:34 PM,c2b6 1,192.86,2.183,1.844,2.092,1.767,NA
11/24/2025 01:55:30 PM,c2c1 1,43.87,2.058,1.814,0.484,0.426,NA
11/24/2025 01:56:24 PM,c2c2 1,43.26,2.129,1.918,0.451,0.406,NA
11/24/2025 01:57:17 PM,c2c3 1,23.59,2.138,1.083,0.436,0.221,NA
11/24/2025 01:58:19 PM,c2c4 1,66.46,1.999,1.71,0.777,0.665,NA
11/24/2025 01:59:12 PM,c2c5 1,47.78,2.114,2.013,0.475,0.452,NA
11/24/2025 02:01:18 PM,c2d1 1,11.13,1.68,0.755,0.295,0.132,NA
11/24/2025 02:02:17 PM,c2d2 1,41.2,2.099,1.676,0.492,0.393,NA
11/24/2025 02:03:23 PM,c2d3 1,56.55,2.102,2.103,0.538,0.538,NA
11/24/2025 02:04:22 PM,c2d4 1,72.14,2.093,1.491,0.968,0.689,NA
11/24/2025 02:05:24 PM,c2d5 1,51.14,2.105,1.781,0.574,0.486,NA
11/24/2025 02:06:25 PM,c2d6 1,32.4,2.127,1.762,0.368,0.305,NA
11/24/2025 02:10:40 PM,d1a1 1,1.61,1.943,0.359,0.09,0.017,NA
11/24/2025 02:12:28 PM,d1a2 1,92.73,2.043,1.625,1.141,0.908,NA
11/24/2025 02:13:29 PM,d1a3 1,18.93,2.121,1.071,0.354,0.178,NA
11/24/2025 02:14:25 PM,d1a4 1,46.23,2.155,0.659,1.403,0.429,NA
11/24/2025 02:15:30 PM,d1a5 1,16.75,2.123,1.465,0.229,0.158,NA
11/24/2025 02:16:28 PM,d1a6 1,102.03,2.205,1.644,1.241,0.925,NA
11/24/2025 02:17:26 PM,d1b1 1,29.29,2.086,1.976,0.296,0.281,NA
11/24/2025 02:18:26 PM,d1b2 1,63.59,2.116,2.234,0.569,0.601,NA
11/24/2025 02:19:26 PM,d1b3 1,37.99,2.229,0.92,0.825,0.341,NA
11/24/2025 02:20:18 PM,d1b4 1,34.83,2.201,1.451,0.48,0.317,NA
11/24/2025 02:21:28 PM,d1b5 1,20.59,2.057,1.557,0.264,0.2,NA
11/24/2025 02:22:27 PM,d1b6 1,65.25,2.092,2.14,0.61,0.624,NA
11/24/2025 02:23:30 PM,d1c1 1,24.23,2.085,1.237,0.392,0.232,NA
11/24/2025 02:24:24 PM,d1c2 1,20.44,1.943,1.506,0.271,0.21,NA
11/24/2025 02:25:40 PM,d1c3 1,31.48,2.147,1.552,0.406,0.293,NA
11/24/2025 02:26:27 PM,d1c4 1,20.02,2.149,1.824,0.219,0.186,NA
11/24/2025 02:27:20 PM,d1c5 1,45.02,2.059,1.738,0.518,0.437,NA
11/24/2025 02:28:35 PM,d1c6 1,39.38,2.193,1.378,0.572,0.359,NA
11/24/2025 02:29:39 PM,d1d1 1,45.66,2.11,1.734,0.527,0.433,NA
11/24/2025 02:30:48 PM,d1d2 1,28.42,2.179,1.458,0.39,0.261,NA
11/24/2025 02:31:39 PM,d1d3 1,30.92,2.075,1.786,0.346,0.298,NA
11/24/2025 02:32:47 PM,d1d4 1,59.57,2.101,1.646,0.724,0.567,NA
11/24/2025 02:33:55 PM,d1d5 1,52.65,2.139,1.927,0.546,0.492,NA
11/24/2025 02:34:54 PM,d1d6 1,25.1,2.108,1.663,0.302,0.238,NA
11/24/2025 02:36:12 PM,d2a1 1,17.86,2.178,0.718,0.497,0.164,NA
11/24/2025 02:37:04 PM,d2a2 1,37.17,1.993,1.922,0.387,0.373,NA
11/24/2025 02:38:05 PM,d2a3 1,45.51,2.137,0.923,0.986,0.426,NA
11/24/2025 02:38:58 PM,d2a4 1,87.94,2.137,2.279,0.772,0.823,NA
11/24/2025 02:39:49 PM,d2a5 1,43.47,2.053,1.849,0.47,0.423,NA
11/24/2025 02:40:41 PM,d2a6 1,20.56,1.931,3.449,0.119,0.213,NA
11/24/2025 02:41:55 PM,d2b1 1,71.7,2.023,1.895,0.757,0.709,NA
11/24/2025 02:42:49 PM,d2b2 1,15.01,1.98,1.379,0.218,0.152,NA
11/24/2025 02:43:42 PM,d2b3 1,36.69,2.062,2.293,0.32,0.356,NA
11/24/2025 02:44:39 PM,d2b4 1,4.06,2.66,0.224,0.362,0.031,NA
11/24/2025 02:45:44 PM,d2b5 1,23.71,1.844,1.761,0.269,0.257,NA
11/24/2025 02:46:36 PM,d2b6 1,66.08,2.113,1.848,0.715,0.625,NA
11/24/2025 02:47:27 PM,d2c1 1,21.84,2.033,1.665,0.262,0.215,NA
11/24/2025 02:48:25 PM,d2c2 1,81.97,2.161,2.047,0.801,0.759,NA
11/24/2025 02:49:11 PM,d2c3 1,15.2,1.978,1.517,0.2,0.154,NA
11/24/2025 02:50:05 PM,d2c4 1,57.91,2.018,1.848,0.627,0.574,NA
11/24/2025 02:50:56 PM,d2c5 1,49.66,2.028,1.546,0.643,0.49,NA
11/24/2025 02:51:43 PM,d2c6 1,69.79,2.115,2.1,0.665,0.66,NA
11/24/2025 02:52:29 PM,d2d1 1,27.71,1.953,1.849,0.3,0.284,NA
11/24/2025 02:53:26 PM,d2d2 1,66.96,2.003,1.199,1.117,0.669,NA
11/24/2025 02:54:15 PM,d2d3 1,36.48,1.987,1.672,0.436,0.367,NA
11/24/2025 02:55:10 PM,d2d4 1,64.46,2.124,1.155,1.116,0.607,NA
11/24/2025 02:55:55 PM,d2d5 1,81.21,2.043,1.799,0.903,0.795,NA
11/24/2025 02:56:37 PM,d2d6 1,42.68,2.082,1.295,0.659,0.41,NA
