"Plot Title: 21820141_pendant3"
"#","Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Y Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Z Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Coupler Attached (LGR S/N: 21820141)","Host Connected (LGR S/N: 21820141)","Stopped (LGR S/N: 21820141)","End Of File (LGR S/N: 21820141)"
169,11/23/24 12:00:00 PM,-0.975,-0.300,-0.100,,,,
170,11/23/24 12:15:00 PM,-0.950,-0.475,-0.200,,,,
171,11/23/24 12:30:00 PM,-1.025,-0.325,0.025,,,,
172,11/23/24 12:45:00 PM,-1.050,-0.400,-0.225,,,,
173,11/23/24 01:00:00 PM,-0.975,-0.250,-0.175,,,,
174,11/23/24 01:15:00 PM,-1.025,-0.250,-0.025,,,,
175,11/23/24 01:30:00 PM,-1.000,-0.225,-0.250,,,,
176,11/23/24 01:45:00 PM,-1.000,-0.250,-0.175,,,,
177,11/23/24 02:00:00 PM,-1.075,-0.275,0.000,,,,
178,11/23/24 02:15:00 PM,-1.125,-0.275,0.025,,,,
179,11/23/24 02:30:00 PM,-1.075,-0.225,0.075,,,,
180,11/23/24 02:45:00 PM,-1.025,-0.150,0.075,,,,
181,11/23/24 03:00:00 PM,-0.975,-0.175,0.025,,,,
182,11/23/24 03:15:00 PM,-1.000,-0.250,0.075,,,,
183,11/23/24 03:30:00 PM,-1.000,-0.125,-0.075,,,,
184,11/23/24 03:45:00 PM,-1.050,-0.275,-0.225,,,,
185,11/23/24 04:00:00 PM,-0.975,0.050,-0.150,,,,
186,11/23/24 04:15:00 PM,-0.950,-0.350,-0.150,,,,
187,11/23/24 04:30:00 PM,-0.900,-0.225,-0.300,,,,
188,11/23/24 04:45:00 PM,-1.075,-0.350,-0.125,,,,
189,11/23/24 05:00:00 PM,-1.000,-0.075,-0.125,,,,
190,11/23/24 05:15:00 PM,-1.000,-0.300,-0.125,,,,
191,11/23/24 05:30:00 PM,-1.050,-0.250,0.025,,,,
192,11/23/24 05:45:00 PM,-1.100,-0.175,-0.075,,,,
193,11/23/24 06:00:00 PM,-1.025,-0.200,0.025,,,,
194,11/23/24 06:15:00 PM,-0.975,-0.225,0.000,,,,
195,11/23/24 06:30:00 PM,-1.075,-0.250,0.000,,,,
196,11/23/24 06:45:00 PM,-1.000,-0.100,-0.125,,,,
197,11/23/24 07:00:00 PM,-1.025,-0.325,0.025,,,,
198,11/23/24 07:15:00 PM,-1.025,-0.225,-0.125,,,,
199,11/23/24 07:30:00 PM,-1.100,-0.225,0.000,,,,
200,11/23/24 07:45:00 PM,-0.975,-0.175,0.100,,,,
201,11/23/24 08:00:00 PM,0.350,-0.425,-0.450,,,,
202,11/23/24 08:15:00 PM,-0.975,-0.375,-0.075,,,,
203,11/23/24 08:30:00 PM,-0.925,-0.425,0.200,,,,
204,11/23/24 08:45:00 PM,-0.675,-0.525,-0.625,,,,
205,11/23/24 09:00:00 PM,-0.950,-0.275,0.300,,,,
206,11/23/24 09:15:00 PM,-0.975,-0.300,-0.025,,,,
207,11/23/24 09:30:00 PM,-1.175,-0.175,0.150,,,,
208,11/23/24 09:45:00 PM,-0.850,-0.200,0.475,,,,
209,11/23/24 10:00:00 PM,-0.850,-0.600,0.325,,,,
210,11/23/24 10:15:00 PM,-0.575,-0.950,-0.325,,,,
211,11/23/24 10:30:00 PM,-1.000,-0.200,0.100,,,,
212,11/23/24 10:45:00 PM,-1.050,-0.075,0.100,,,,
213,11/23/24 11:00:00 PM,-1.100,-0.100,-0.025,,,,
214,11/23/24 11:15:00 PM,0.325,-0.800,-0.575,,,,
215,11/23/24 11:30:00 PM,-1.000,-0.100,0.025,,,,
216,11/23/24 11:45:00 PM,-0.600,-0.725,0.550,,,,
217,11/24/24 12:00:00 AM,-0.825,-0.325,0.425,,,,
218,11/24/24 12:15:00 AM,-1.075,0.150,-0.175,,,,
219,11/24/24 12:30:00 AM,0.950,0.175,-0.075,,,,
220,11/24/24 12:45:00 AM,0.750,0.025,0.900,,,,
221,11/24/24 01:00:00 AM,-1.175,-0.350,0.025,,,,
222,11/24/24 01:15:00 AM,-0.650,-0.500,0.575,,,,
223,11/24/24 01:30:00 AM,-0.425,-0.425,0.875,,,,
224,11/24/24 01:45:00 AM,-1.050,0.175,0.200,,,,
225,11/24/24 02:00:00 AM,-1.075,-0.200,-0.125,,,,
226,11/24/24 02:15:00 AM,-1.075,-0.275,0.125,,,,
227,11/24/24 02:30:00 AM,-1.000,-0.200,0.200,,,,
228,11/24/24 02:45:00 AM,-0.675,-0.500,0.650,,,,
229,11/24/24 03:00:00 AM,-1.100,0.075,0.375,,,,
230,11/24/24 03:15:00 AM,-1.100,0.225,-0.100,,,,
231,11/24/24 03:30:00 AM,0.875,-0.700,-0.475,,,,
232,11/24/24 03:45:00 AM,-0.575,-0.750,0.475,,,,
233,11/24/24 04:00:00 AM,-0.700,-0.550,0.525,,,,
234,11/24/24 04:15:00 AM,-1.125,-0.025,0.175,,,,
235,11/24/24 04:30:00 AM,-0.925,-0.600,-0.050,,,,
236,11/24/24 04:45:00 AM,0.525,-0.975,-0.275,,,,
237,11/24/24 05:00:00 AM,-0.975,-0.500,0.175,,,,
