"Plot Title: 21820136_Pendant1"
"#","Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Y Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Z Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","End Of File (LGR S/N: 21820136)"
153,11/22/24 06:40:00 AM,-1.025,-0.175,0.175,
154,11/22/24 06:45:00 AM,-1.050,-0.300,-0.075,
155,11/22/24 06:50:00 AM,-1.000,-0.250,0.125,
156,11/22/24 06:55:00 AM,-1.025,-0.125,0.100,
157,11/22/24 07:00:00 AM,-0.975,-0.350,0.150,
158,11/22/24 07:05:00 AM,-0.950,-0.075,0.200,
159,11/22/24 07:10:00 AM,-1.075,-0.175,0.175,
160,11/22/24 07:15:00 AM,-0.900,-0.650,0.250,
161,11/22/24 07:20:00 AM,-1.000,-0.450,0.125,
162,11/22/24 07:25:00 AM,-1.025,-0.325,0.150,
163,11/22/24 07:30:00 AM,-1.025,-0.350,0.250,
164,11/22/24 07:35:00 AM,-0.975,-0.200,0.250,
165,11/22/24 07:40:00 AM,-1.100,-0.350,0.075,
166,11/22/24 07:45:00 AM,-0.825,-0.750,0.325,
167,11/22/24 07:50:00 AM,-1.025,-0.325,0.075,
168,11/22/24 07:55:00 AM,-0.975,-0.275,0.100,
169,11/22/24 08:00:00 AM,-1.050,-0.125,0.100,
170,11/22/24 08:05:00 AM,-1.050,-0.275,0.175,
171,11/22/24 08:10:00 AM,-1.025,-0.150,0.200,
172,11/22/24 08:15:00 AM,-1.050,-0.050,0.300,
173,11/22/24 08:20:00 AM,-1.025,-0.250,0.200,
174,11/22/24 08:25:00 AM,-1.025,-0.225,0.175,
175,11/22/24 08:30:00 AM,-1.050,-0.225,0.150,
176,11/22/24 08:35:00 AM,-1.025,-0.200,0.125,
177,11/22/24 08:40:00 AM,-1.025,-0.325,0.125,
178,11/22/24 08:45:00 AM,-1.025,-0.175,0.125,
179,11/22/24 08:50:00 AM,-1.025,-0.225,0.125,
180,11/22/24 08:55:00 AM,-1.050,-0.275,0.050,
181,11/22/24 09:00:00 AM,-1.025,-0.275,0.150,
182,11/22/24 09:05:00 AM,-1.000,-0.225,0.175,
183,11/22/24 09:10:00 AM,-1.000,-0.300,0.175,
184,11/22/24 09:15:00 AM,-1.025,-0.250,0.100,
185,11/22/24 09:20:00 AM,-1.050,-0.275,0.125,
186,11/22/24 09:25:00 AM,-1.025,-0.275,0.000,
187,11/22/24 09:30:00 AM,-1.075,-0.250,0.025,
188,11/22/24 09:35:00 AM,-1.025,-0.275,0.075,
189,11/22/24 09:40:00 AM,-1.025,-0.175,0.025,
190,11/22/24 09:45:00 AM,-0.975,-0.250,0.100,
191,11/22/24 09:50:00 AM,-1.125,-0.350,0.175,
192,11/22/24 09:55:00 AM,-0.900,-0.475,0.450,
193,11/22/24 10:00:00 AM,-0.900,-0.175,0.075,
194,11/22/24 10:05:00 AM,-0.900,-0.300,0.250,
195,11/22/24 10:10:00 AM,-0.900,-0.250,0.350,
196,11/22/24 10:15:00 AM,-1.050,-0.175,0.100,
197,11/22/24 10:20:00 AM,-0.975,-0.725,0.075,
198,11/22/24 10:25:00 AM,-1.100,0.000,0.175,
199,11/22/24 10:30:00 AM,-0.950,-0.225,0.375,
200,11/22/24 10:35:00 AM,-0.950,-0.400,0.300,
201,11/22/24 10:40:00 AM,-1.025,-0.150,0.100,
202,11/22/24 10:45:00 AM,-1.050,-0.125,0.175,
203,11/22/24 10:50:00 AM,-0.950,-0.325,0.275,
204,11/22/24 10:55:00 AM,-0.925,-0.375,0.150,
205,11/22/24 11:00:00 AM,-0.925,-0.300,0.125,
206,11/22/24 11:05:00 AM,-1.025,0.100,0.025,
207,11/22/24 11:10:00 AM,-1.000,0.000,0.200,
208,11/22/24 11:15:00 AM,-1.000,-0.525,0.325,
209,11/22/24 11:20:00 AM,-0.975,-0.275,0.300,
210,11/22/24 11:25:00 AM,-0.475,-1.025,-0.175,
211,11/22/24 11:30:00 AM,-1.125,-0.125,0.225,
212,11/22/24 11:35:00 AM,-0.900,-0.200,0.550,
213,11/22/24 11:40:00 AM,-1.175,-0.200,0.125,
214,11/22/24 11:45:00 AM,-0.950,-0.250,0.075,
215,11/22/24 11:50:00 AM,-1.075,-0.325,-0.025,
216,11/22/24 11:55:00 AM,-0.975,-0.175,-0.025,
217,11/22/24 12:00:00 PM,-1.125,-0.225,0.100,
218,11/22/24 12:05:00 PM,-1.000,0.050,0.175,
219,11/22/24 12:10:00 PM,-1.150,-0.325,0.050,
220,11/22/24 12:15:00 PM,-1.075,-0.200,0.150,
221,11/22/24 12:20:00 PM,-0.975,-0.300,0.175,
222,11/22/24 12:25:00 PM,-0.950,-0.025,0.225,
223,11/22/24 12:30:00 PM,-1.025,-0.125,0.125,
224,11/22/24 12:35:00 PM,-1.000,-0.325,0.175,
225,11/22/24 12:40:00 PM,-0.600,-0.250,-0.250,
226,11/22/24 12:45:00 PM,-1.050,-0.200,0.125,
227,11/22/24 12:50:00 PM,-1.075,-0.300,0.125,
228,11/22/24 12:55:00 PM,-0.950,-0.125,0.150,
229,11/22/24 01:00:00 PM,-1.175,-0.200,0.075,
230,11/22/24 01:05:00 PM,-1.050,-0.525,-0.075,
231,11/22/24 01:10:00 PM,-1.150,-0.125,0.100,
232,11/22/24 01:15:00 PM,-0.650,-0.925,0.175,
233,11/22/24 01:20:00 PM,-1.000,-0.275,0.000,
234,11/22/24 01:25:00 PM,-1.075,-0.150,0.075,
235,11/22/24 01:30:00 PM,-1.050,-0.100,0.175,
236,11/22/24 01:35:00 PM,-1.100,-0.025,0.050,
237,11/22/24 01:40:00 PM,-1.025,-0.150,-0.050,
238,11/22/24 01:45:00 PM,-1.075,-0.200,0.025,
239,11/22/24 01:50:00 PM,-1.025,-0.175,0.000,
240,11/22/24 01:55:00 PM,-0.800,-0.125,0.475,
241,11/22/24 02:00:00 PM,-0.825,-0.625,-0.350,
242,11/22/24 02:05:00 PM,-0.975,-0.325,0.000,
243,11/22/24 02:10:00 PM,-1.025,-0.225,0.025,
